dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number
B00221,2019-01-01 00:08:29,2019-01-01 00:08:31,,265,,B00221
B00221,2019-01-01 00:42:38,2019-01-01 00:42:42,,265,,B00221
B00221,2019-01-01 00:01:28,2019-01-01 00:15:53,,265,,B00221
B00225,2019-01-01 00:21:31,2019-01-01 00:34:37,,265,,B00225
B00225,2019-01-01 00:24:28,2019-01-01 00:54:49,,265,,B00225
B00225,2019-01-01 00:25:27,2019-01-01 00:46:20,,265,,B00225
B00227,2019-01-01 00:21:00,2019-01-01 01:55:55,,,,B00227
B00227,2019-01-01 00:45:00,2019-01-01 01:35:51,,,,B00227
B00248,2019-01-01 00:29:00,2019-01-01 00:40:14,,265,,B00248
B00248,2019-01-01 00:43:54,2019-01-01 00:56:06,,265,,B00248
B00248,2019-01-01 00:13:08,2019-01-01 00:22:55,,265,,B00248
B00248,2019-01-01 00:30:31,2019-01-01 00:40:12,,265,,B00248
B00248,2019-01-01 00:46:12,2019-01-01 00:57:37,,265,,B00248
B00248,2019-01-01 00:02:34,2019-01-01 00:11:29,,265,,B00248
B00248,2019-01-01 00:13:45,2019-01-01 00:34:42,,265,,B00248
B00248,2019-01-01 00:16:00,2019-01-01 00:40:05,,265,,B00248
B00248,2019-01-01 00:52:07,2019-01-01 01:03:43,,265,,B00248
B00248,2019-01-01 00:57:02,2019-01-01 01:03:34,,265,,B00248
B00248,2019-01-01 00:55:53,2019-01-01 01:02:13,,265,,B00248
B00248,2019-01-01 00:02:45,2019-01-01 00:11:41,,265,,B00248
B00248,2019-01-01 00:38:02,2019-01-01 01:03:17,,265,,B00248
B00248,2019-01-01 00:04:35,2019-01-01 00:13:40,,265,,B00248
B00248,2019-01-01 00:18:46,2019-01-01 00:29:48,,265,,B00248
B00248,2019-01-01 00:14:13,2019-01-01 00:32:21,,265,,B00248
B00248,2019-01-01 00:07:38,2019-01-01 00:19:05,,265,,B00248
B00248,2019-01-01 00:41:20,2019-01-01 00:47:40,,265,,B00248
B00248,2019-01-01 00:53:50,2019-01-01 01:00:12,,265,,B00248
B00248,2019-01-01 00:10:31,2019-01-01 00:22:58,,265,,B00248
B00248,2019-01-01 00:55:11,2019-01-01 01:01:52,,265,,B00248
B00248,2019-01-01 00:36:47,2019-01-01 00:44:59,,265,,B00248
B00248,2019-01-01 00:09:51,2019-01-01 00:20:00,,265,,B00248
B00248,2019-01-01 00:36:35,2019-01-01 00:42:56,,265,,B00248
B00248,2019-01-01 00:51:07,2019-01-01 01:01:24,,265,,B00248
B00248,2019-01-01 00:26:56,2019-01-01 00:43:43,,265,,B00248
B00248,2019-01-01 00:11:09,2019-01-01 00:20:59,,265,,B00248
B00248,2019-01-01 00:52:34,2019-01-01 01:01:06,,265,,B00248
B00248,2019-01-01 00:17:44,2019-01-01 00:24:03,,265,,B00248
B00248,2019-01-01 00:00:10,2019-01-01 00:33:26,,265,,B00248
B00248,2019-01-01 00:06:00,2019-01-01 00:36:23,,265,,B00248
